"PROVIDER_NUMBER","Hospital_Name","State","Num_DRG","Entire_100_Medicare_Payments","Entire_Medicare_Payments","Entire_100_Total_Payments","Entire_100_Covered_Charges","PNEUMONIA_193_Total_Discharges","PNEUMONIA_193_Average_Medicare_Payments","PNEUMONIA_193_Average_Total_Payments","Number_of_Pneumonia_Cases","Excess_Readmission_Ratio_for_Pneumonia","HF_291_Total_Discharges","HF_291_Average_Medicare_Payments","HF_291_Average_Total_Payments","Number_of_Heart_Failure_Cases","Excess_Readmission_Ratio_for_Heart_Failure","AMI_280_Total_Discharges","AMI_280_Average_Medicare_Payments","AMI_280_Average_Total_Payments","Number_of_Acute_Myocardial_Infarction_Cases","Acute_Myocardial_Infarction_Excess_Readmission_Ratio","HIP_480_Total_Discharges","HIP_480_Average_Medicare_Payments","HIP_480_Average_Total_Payments","Number_of_Hip_Knee_Arthroplasty_Cases","Hip_Knee_Arthroplasty_Excess_Readmission_Ratio","COPD_190_Total_Discharges","COPD_190_Average_Medicare_Payments","COPD_190_Average_Total_Payments","Number_of_Chronic_Obstructive_Pulmonary_Disease_Cases","Chronic_Obstructive_Pulmonary_Disease_Excess_Readmission_Ratio","Corrected_FY_2015_Readmissions_Adjustment_Factor","Readmissions_2015_penalty_100","Readmissions_2015_penalty_est","TOTAL_HOSPITAL_BEDS","TOTAL_HOSPITAL_MEDICARE_DAYS","TOTAL_HOSPITAL_DAYS","PERC_MEDICARE_DAYS","Bed_Utilization","TOTAL_HOSPITAL_MEDICARE_DISCHARGES","TOTAL_HOSPITAL_DISCHARGES","Address","City","ZIP_Code","County_Name","Hospital_Type","Hospital_Ownership","Emergency_Services","Average_100DRG_Medicare_Payments","Average_100DRG_Total_Payments","count_excess_ratio","count_excess_ratio_decimal","Salary_Adjusted_Factor","population_density","densityrank","TotalMCCPatients_gthan1","TotalMCCPatients","TotalreportedPatients","TotalreportedPatients_gthan1","Annual_increase_2015_2020","Annual_increase_2020_2025","Annual_increase_2025_2030","meet_eligibility","COPD_MCC_gthan1_meet_eligibility","PNEUMONIA_MCC_gthan1_meet_eligibility","HF_MCC_gthan1_meet_eligibility","AMI_MCC_gthan1_meet_eligibility","HIP_MCC_gthan1_meet_eligibility","Predicted_Readmission_Rate_2015_AMI","Predicted_Readmission_Rate_2015_COPD","Predicted_Readmission_Rate_2015_HF","Predicted_Readmission_Rate_2015_HIP","Predicted_Readmission_Rate_2015_PN","Expected_Readmission_Rate_2015_AMI","Expected_Readmission_Rate_2015_COPD","Expected_Readmission_Rate_2015_HF","Expected_Readmission_Rate_2015_HIP","Expected_Readmission_Rate_2015_PN","COPD_Total_Payments","HF_Total_Payments","PNE_Total_Payments","AMI_Total_Payments","HIP_Total_Payments","Aggregate_payments_all_discharge"
10022,"CHEROKEE MEDICAL CENTER","AL",9,925722.99,2085419.92252747,1139813.12,4065205.02,11,9607.82,10358.73,110,0.972940265,NA,NA,NA,48,0.975885331,NA,NA,NA,3,0,NA,NA,NA,0,0,19,7328.84,8259.16,123,0.926664159,1,0,0,45,2803,4851,0.577819006390435,0.295342465753425,410,768,"400 NORTHWOOD DR","CENTRE",35960,"CHEROKEE","Acute Care Hospitals","Voluntary non-profit - Private","Yes",5086.39005494505,6262.70945054945,0,0,0.940724959,47.05979311,0.154204157617127,0,30,284,0,1.026426795,1.025084822,1.017306147,0.246261247285138,0,0,NA,NA,NA,NA,17.4,20.6,NA,15.1,NA,18.6,21.2,NA,16,345710.16,NA,408447.1,NA,NA,2567710.87472527
10023,"BAPTIST MEDICAL CENTER SOUTH","AL",87,31600183.49,41324008.8110048,36281725.61,123366180.07,29,8516.38,9926.69,198,1.084994763,74,8841.86,9523.84,578,1.057007665,50,10926.62,11492.14,399,1.091318554,16,17233.56,18193.81,437,1.043108563,57,6583.49,8018.86,276,0.938292636,0.9933,211721.229383001,276870.859033734,336,22113,81655,0.270810115730819,0.665940823383572,4594,15851,"2105 EAST SOUTH BOULEVARD","MONTGOMERY",36116,"MONTGOMERY","Acute Care Hospitals","Government - Hospital District or Authority","Yes",8995.21306290919,10327.8467435241,4,4.276429545,0.940724959,295.8658841,0.491157306856966,169,226,1888,1612,1.026426795,1.025084822,1.017306147,0.34734719205709,0,10,26,17,6,16.4,20,23.3,4.7,18,15.6,20.3,21.8,4.6,18,992552.22,1769752.95,684680.14,847002.97,1542736.96,47446127.9397497
10024,"JACKSON HOSPITAL & CLINIC INC","AL",86,22732792,31631483.6052632,27206724.09,114340824.7,64,6915.47,9015.94,335,0.905373716,114,7479.86,8591.44,578,0.996905072,36,10817.25,12128.83,289,0.927031962,17,15577.94,16793.47,399,1.132591524,61,5514.79,7357.05,421,0.978486489,0.9956,100024.284799999,139178.527863157,255,24705,63304,0.390259699229117,0.680139672307279,4653,13944,"1725 PINE STREET","MONTGOMERY",36106,"MONTGOMERY","Acute Care Hospitals","Voluntary non-profit - Private","Yes",6798.08373205742,8135.98208433014,1,1.132591524,0.940724959,295.8658841,0.491157306856966,17,292,2022,399,1.026426795,1.025084822,1.017306147,0.34734719205709,0,0,0,0,6,16.1,18,19.8,5.2,16.2,17.2,19.7,21.3,4.4,17.2,1044134.64,1781781.59,1338169.84,658756.82,1193735.84,37856724.6383881
10029,"EAST ALABAMA MEDICAL CENTER","AL",86,27883916.9,44408293.0912247,32055831.91,62933450.5,68,7565.72,8503.44,300,0.91654736,102,8110.37,8935.62,741,0.944965094,19,8852.58,10393.11,305,1.164544842,19,15288.68,16930.42,613,1.055735044,117,5894.55,6943.33,431,0.918732467,0.9927,203552.593369999,324180.539565939,266,32274,72603,0.444527085657617,0.747790709650839,5735,16448,"2000 PEPPERELL PARKWAY","OPELIKA",36801,"LEE","Acute Care Hospitals","Government - Hospital District or Authority","Yes",7743.38153290753,8901.92499583449,2,2.220279886,0.940724959,56.89389897,0.189767441860465,38,325,2390,918,1.026426795,1.025084822,1.017306147,0.25693023255814,0,0,0,5,5,15.1,17.9,20.8,5.4,14.3,14.4,18.9,20.3,4.5,15.8,1141752.65,1812532.27,1013913.72,322477.1,1053494.94,51052539.8511108
10032,"WEDOWEE HOSPITAL","AL",11,904800.02,1075338.24366492,1054967.91,2524776.09,14,7446.5,8059.64,112,1.082290598,NA,NA,NA,43,1.016176437,NA,NA,NA,6,0,NA,NA,NA,0,0,NA,NA,NA,64,0.972519834,0.9903,8776.56019400004,10430.7809635498,497,1062,2268,0.468253968253968,0.182256509161041,227,460,"209 NORTH MAIN STREET","WEDOWEE",36278,"RANDOLPH","Acute Care Hospitals","Government - Hospital District or Authority","Yes",4737.17287958115,5523.39219895288,2,2.098467035,0.940724959,39.25073401,0.124031007751938,14,14,225,155,1.026426795,1.025084822,1.017306147,0.237209302325581,NA,3,NA,NA,NA,NA,16.9,20.2,NA,16,NA,18.1,20.3,NA,16.2,177007.92,85602,383090.92,NA,NA,1253810.0291623
10033,"UNIVERSITY OF ALABAMA HOSPITAL","AL",97,61557765.94,108955989.235613,76874811.49,291609622.4,101,9300.77,11069.98,505,1.237137184,106,12075.23,12970.42,661,1.054036015,72,12432.01,13537.15,314,1.187130357,21,22681.19,24877.9,254,1.233082978,64,7943.97,9365.66,273,1.061897282,0.9939,375502.372234,664631.534337239,991,72901,289337,0.251958788540698,0.79990323873768,11273,40166,"619 SOUTH 19TH STREET","BIRMINGHAM",35233,"JEFFERSON","Acute Care Hospitals","Government - State","Yes",9665.21682210708,12070.154104255,5,5.773283816,0.940724959,592.9497401,0.637775706741224,364,364,2007,2007,1.026426795,1.025084822,1.017306147,0.391332712022367,25,40,41,28,8,17.9,21.6,24.5,7.2,19.6,16,20.8,22.5,5,16.7,1288319.36,2831900.86,2375814.1,1327645.83,1324569.68,136066847.217267
10034,"COMMUNITY HOSPITAL INC","AL",15,1544991.64,3525891.63557143,1825127.38,3245764.34,14,7829.21,8499.79,100,1.016541794,17,7351.94,8202.53,126,0.994973003,NA,NA,NA,6,0,NA,NA,NA,0,0,16,5405.75,6428.56,118,0.944814843,0.9992,1235.99331200004,2820.71330845722,37,3020,5813,0.51952520213315,0.430433172898926,639,1346,"805 FRIENDSHIP ROAD","TALLASSEE",36078,"ELMORE","Acute Care Hospitals","Voluntary non-profit - Private","Yes",5517.82728571429,6518.31207142857,1,1.016541794,0.940724959,129.6103499,0.339019851116625,14,47,350,100,1.026426795,1.025084822,1.017306147,0.301705955334988,0,4,0,NA,NA,NA,18.4,20.1,NA,15,NA,18.8,21.2,NA,15.7,227928.99,273429.05,214396.13,NA,NA,4165201.41364286
10035,"CULLMAN REGIONAL MEDICAL CENTER","AL",60,18349455.86,25178281.3770753,20855940.57,57034737.86,72,8678.58,10072.11,478,1.053810304,128,8813.69,9728.84,509,0.969489068,27,10600.52,11469.26,103,0.936986266,14,18448.36,19366.64,343,1.103309725,49,6473.73,7683,351,1.039999314,0.9909,166980.048326,229122.360531385,115,13190,24053,0.548372344406103,0.573031566408577,3134,6893,"1912 ALABAMA HIGHWAY 157","CULLMAN",35058,"CULLMAN","Acute Care Hospitals","Government - Hospital District or Authority","Yes",8033.91237302977,9131.32249124343,3,3.197119343,0.940724959,109.5965473,0.315968992248062,135,290,1784,1172,1.026426795,1.025084822,1.017306147,0.294790697674419,14,21,0,0,4,15.3,20.5,20.7,4.5,17.4,16.1,19,20.7,4.8,16.2,794563,1812508.2,1159160.82,435389.94,665811.04,28617564.6875569
10036,"ANDALUSIA REGIONAL HOSPITAL","AL",29,4560852.24,7196801.36311804,5610838.56,17516878.1,25,7147.72,7901.04,259,0.983013763,28,6823.75,8068.75,172,0.969350078,NA,NA,NA,5,0,NA,NA,NA,160,0.938684452,40,5251.25,6273.03,269,0.965370657,1,0,0,88,5884,11721,0.502004948383244,0.364912826899128,1417,3160,"849 SOUTH THREE NOTCH STREET","ANDALUSIA",36420,"COVINGTON","Acute Care Hospitals","Proprietary","Yes",5078.90004454343,6248.14984409799,0,0,0.940724959,36.93315006,0.114418604651163,0,93,865,0,1.026426795,1.025084822,1.017306147,0.234325581395349,0,0,0,NA,NA,NA,18.7,21.9,5.1,14.8,NA,18.9,21.1,5.2,15.6,671162.12,528688.15,816612.26,NA,223223.01,8853628.32908685
10038,"STRINGFELLOW MEMORIAL HOSPITAL","AL",37,4900631.26,7214127.23553299,6054901.43,45783776.93,36,6992.47,7844.19,228,1.039052735,43,7199.56,7801.42,230,1.091247006,15,7944.47,9415.8,53,1.054177899,NA,NA,NA,77,1.09438848,53,5118.96,6247.45,350,1.011121181,0.9921,38714.9869540001,56991.6051607108,125,5822,10772,0.540475306349796,0.236098630136986,1450,2969,"301 EAST 18TH ST","ANNISTON",36201,"CALHOUN","Acute Care Hospitals","Proprietary","Yes",4975.26016243655,6147.10805076142,5,5.289987301,0.940724959,194.4269418,0.412659013341607,147,147,938,938,1.026426795,1.025084822,1.017306147,0.323797704002482,17,12,14,5,NA,18.8,17.7,25.1,5.3,17.1,17.6,17.2,21,4.9,16.3,747138.84,557384.92,577948.99,141237,NA,8913306.67360406
10039,"HUNTSVILLE HOSPITAL","AL",99,89622013.76,132831865.082115,105858113.71,531880287.58,234,7664.58,9068.57,984,0.926454394,451,8154.38,9731.26,1799,0.995689067,107,9344.69,10841.41,1203,0.989228516,56,15920.73,17310.48,1730,1.003975887,307,6000.73,7195.8,1242,0.967367123,0.9998,17924.402751998,26566.3730164201,851,84375,223236,0.377963231736817,0.718690340131674,15555,47089,"101 SIVLEY RD","HUNTSVILLE",35801,"MADISON","Acute Care Hospitals","Government - Hospital District or Authority","Yes",8539.49630871844,10086.5282239161,1,1.003975887,0.940724959,424.2937814,0.571960297766749,56,1155,6958,1730,1.026426795,1.025084822,1.017306147,0.371588089330025,0,0,0,0,21,13.8,18.2,22,5.4,17.5,14.7,19.1,22.4,4.7,17.8,3601946.51,6089165.28,3306678.1,1896861.12,3049683.42,156895946.523015
10040,"GADSDEN REGIONAL MEDICAL CENTER","AL",82,26444630.82,36805560.1105127,31204045.54,317845964.06,83,7627.64,8602.49,535,0.957745722,98,9070.22,10179.53,470,0.994739686,17,11651.18,13844.94,210,1.002298958,NA,NA,NA,331,1.385331802,135,6131.47,7156.72,505,0.947396368,0.9889,293535.402102,408541.717226691,238,30681,68295,0.449242257851966,0.786174743870151,5158,13457,"1007 GOODYEAR AVENUE","GADSDEN",35903,"ETOWAH","Acute Care Hospitals","Proprietary","Yes",7135.62623313546,8419.87197517539,2,2.38763076,0.940724959,47.05979311,0.154204157617127,17,333,2051,541,1.026426795,1.025084822,1.017306147,0.246261247285138,0,0,0,4,NA,14.4,19.1,22.2,7.2,15.6,14.6,19.6,22.2,5.1,16.5,1708443.95,1668121.86,1708323.47,491853.79,548164.16,43429699.6479547
10044,"MARION REGIONAL MEDICAL CENTER","AL",11,1202172.08,962778.505627706,1472491.01,4417583.2,15,7192.87,8772.2,162,0.928849753,NA,NA,NA,58,0.949800015,NA,NA,NA,3,0,NA,NA,NA,0,0,32,5415.78,6937.75,129,0.968401095,1,0,0,36,1687,2122,0.795004712535344,0.161491628614916,185,290,"1256 MILITARY STREET SOUTH","HAMILTON",35570,"MARION","Acute Care Hospitals","Voluntary non-profit - Private","Yes",5204.20813852814,6374.41995670996,0,0,0.940724959,23.66055665,0.0644961240310078,0,47,352,0,1.026426795,1.025084822,1.017306147,0.219348837209302,0,0,NA,NA,NA,NA,16.2,18.7,NA,13.7,NA,17.7,20.4,NA,14.7,285026,66396.99,518011.04,NA,NA,1179267.69199134
10045,"FAYETTE MEDICAL CENTER","AL",17,2047882.18,2764640.943,2443661.47,7502726.66,NA,NA,NA,186,1.078539939,14,7738.07,8641.71,112,0.974901607,NA,NA,NA,11,0,NA,NA,NA,0,0,31,6523.74,7434.06,195,1.056038073,0.9897,21093.186454,28475.8017128999,42,4269,5671,0.752777287956269,0.369928245270711,567,885,"1653 TEMPLE AVENUE NORTH","FAYETTE",35555,"FAYETTE","Acute Care Hospitals","Voluntary non-profit - Other","Yes",4875.90995238095,5818.2415952381,2,2.134578012,0.940724959,27.37469753,0.0769230769230769,31,45,504,381,1.026426795,1.025084822,1.017306147,0.223076923076923,7,NA,0,NA,NA,NA,19.8,21.2,NA,19.1,NA,18.9,21.2,NA,16.7,674039.91,229741.92,413903.08,NA,NA,3298942.9845
10046,"RIVERVIEW REGIONAL MEDICAL CENTER","AL",63,13686828.38,12613479.1962072,16427919.18,170229765.39,59,9003.75,10249.8,358,1.104667556,55,8766.75,9626.45,417,1.112378649,NA,NA,NA,93,1.100342771,NA,NA,NA,211,1.200483131,68,5490.31,6442.6,452,1.006524167,0.9862,188878.231644,174066.01290766,256,13017,24849,0.523844017867922,0.399450231481481,1939,4021,"600 SOUTH THIRD STREET","GADSDEN",35901,"ETOWAH","Acute Care Hospitals","Proprietary","Yes",6505.14656844107,7807.946378327,5,5.524396274,0.940724959,47.05979311,0.154204157617127,182,182,1531,1531,1.026426795,1.025084822,1.017306147,0.246261247285138,17,15,14,NA,NA,17.2,18.7,25.3,6,17.8,15.9,19.1,22.3,5.1,17.4,908017.73,884703.56,911509.16,NA,439881.96,15139608.0275761
10047,"GEORGIANA MEDICAL CENTER","AL",9,720672.15,1674743.803125,883882.02,1183621.33,18,7588.17,8310.17,123,0.962473375,NA,NA,NA,45,1.007685491,NA,NA,NA,12,0,NA,NA,NA,0,0,NA,NA,NA,90,1.110210324,0.9939,4396.100115,10215.9371990625,22,1310,1794,0.730211817168339,0.223412204234122,409,636,"515 N MIRANDA AVENUE","GEORGIANA",36033,"BUTLER","Acute Care Hospitals","Proprietary","Yes",4094.728125,5022.05693181818,2,2.117895815,0.940724959,26.58243828,0.0750620347394541,0,18,270,135,1.026426795,1.025084822,1.017306147,0.222518610421836,NA,0,NA,NA,NA,NA,17.4,20.7,NA,14.6,NA,16.5,19.7,NA,14.9,105862,NA,436056.06,NA,NA,2054021.28511364
10049,"MEDICAL CENTER ENTERPRISE","AL",27,3739126.15,5270525.36130491,4784035.1,30700385.22,NA,NA,NA,206,0.986611347,NA,NA,NA,135,1.175439076,NA,NA,NA,12,0,NA,NA,NA,173,0.900841387,28,4876.86,6230.57,300,1.075716981,0.9918,30660.8344299999,43218.3079627002,117,3449,10214,0.337673781084786,0.239175740545604,1091,3291,"400 N EDWARDS STREET","ENTERPRISE",36330,"COFFEE","Acute Care Hospitals","Proprietary","Yes",4830.91233850129,6180.92390180878,2,2.251156057,0.940724959,74.41546103,0.238597579894508,28,28,826,435,1.026426795,1.025084822,1.017306147,0.271579273968352,8,NA,NA,NA,NA,NA,18.8,21.3,4.8,14,NA,17.3,20.1,4.9,14.5,601315.72,281078.16,289793.94,NA,179932.08,6743387.97687338
